MFG Item,max
10-313FGD,16
10-400AD,24
12-313FGD,16
12-313FGH,32
12-400AD,18
14-313FGD,12
14-313FGH,24
14-400AD,12
16-313FGD,16
16-313FGH,18
18-313FGH,12
20-313FGH,6
4-400AD,24
5-400AD,24
6-400AD,48
7-400AD,48
8-400AD,48
10-313FGH,32
4-313FGD,24
4-313FGH,24
4-406AD,16
5-313FGD,50
5-313FGH,40
5-406AD,20
6-313FGD,72
6-313FGH,72
6-406AD,60
7-313FGD,72
7-313FGH,72
7-406AD,48
8-313FGD,64
8-313FGH,50
10-313SE,24
10-406AD,12
12-313SE,24
12-406AD,8
4-313SE,50
5-313SE,100
6-313SE,100
7-313SE,70
8-313SE,60
8-406AD,40
10-400A,24
12-400A,16
14-400A,16
16-400A,7
18-400A,7
20-400A,12
4-400A,12
5-161A,5
5-400A,12
6-161A,6
6-400A,36
7-161A,12
7-400A,24
8-161A,12
8-400A,30
10X10X10-320T,12
10X10X6-320T,12
10X10X7-320T,12
10X10X8-320T,12
12X12X10-320T,7
12X12X12-320T,12
12X12X7-320T,12
12X12X8-320T,12
14X14X10-320T,6
14X14X12-320T,4
14X14X14-320T,6
6X6X4-320T,12
6X6X5-320T,12
6X6X6-320T,15
8X8X5-320T,12
8X8X6-320T,50
8X8X7-320T,50
8X8X8-320T,24
10X10X10-320S,6
10X10X6-320S,12
10X10X7-320S,12
10X10X8-320S,12
12X12X10-320S,6
12X12X6-320S,6
12X12X7-320S,6
12X12X8-320S,6
6X6X4-320S,12
6X6X5-320S,12
6X6X6-320S,12
8X8X5-320S,12
8X8X6-320S,24
8X8X7-320S,12
8X8X8-320S,12
10-310H,10
10X10X75-320NO,12
12-310H,12
12X12X75-320NO,6
14X14X75-320NO,6
14X30X7.5-320NO,6
3-310,12
4-310,8
5-310H,12
6-310H,12
6X10X6-320NO,8
6X12X6-320NO,18
6X6X75-320NO,6
7-310H,12
8-310H,16
8X8X75-320NO,6
14-310H,8
1425X2025-320NO,6
1425X2425-320NO,6
1425X3025-320NO,6
2275X2275-320NO,6
245X245X6-320NO,2
10X4X4-113R,12
10X4X5-113R,12
10X4X6-113R,36
10X4X7-113R,24
10X6X4-113R,12
10X6X5-113R,8
10X6X6-113R,12
10X6X7-113R,8
10X6X8-113R,12
12X4X5-113R,8
12X4X6-113R,12
12X4X7-113R,12
12X4X8-113R,12
12X6X5-113R,12
12X6X6-113R,12
12X6X7-113R,8
12X6X8-113R,8
10X4X4-110R,12
10X4X5-110R,24
10X4X6-110R,24
10X4X7-110R,24
10X4X8-110R,12
10X6X4-320,12
10X6X5-320,12
10X6X6-320,12
10X6X7-320,12
10X6X8-110R,8
12X4X4-110R,12
12X4X5-110R,12
12X4X6-110R,12
12X4X7-110R,12
12X4X8-110R,8
12X6X6-320,12
12X6X7-320,8
12X6X8-110R,8
12X6X8-320,8
12X8X8-110R,12
10X4X4-112R,12
10X4X5-112R,12
10X4X6-112R,24
10X4X7-112R,12
10X4X8-112R,12
10X6X4-112R,12
10X6X5-112R,12
10X6X6-112R,12
10X6X7-112R,12
10X6X8-112R,8
12X4X4-112R,12
12X4X5-112R,12
12X4X6-112R,12
12X4X7-112R,12
12X4X8-112R,8
12X6X6-112R,12
12X6X7-112R,12
12X6X8-112R,12
5X4X4-306,0
5X5X4-306,0
6X4X4-306,0
6X6X4-306,2
10X6X4-5070,12
10X6X5-5070,24
10X6X6-5070,24
10X6X7-5070,24
12X6X6-5070,12
12X6X7-5070,12
5-502-0,25
5-505-NC,12
6-502-0,40
6-505-NC,30
7-502-0,72
7-505-NC,24
8-502-0,15
8-505-NC,12
12X6X8-5070,12
14X6X6-5070,12
14X6X7-5070,12
14X6X8-5070,12
14X8X8-5070,6
5-503-0,12
5-506-NC,12
5-513FG,12
6-503-0,12
6-506-NC,24
6-513FG,6
7-503-0,12
7-506-NC,24
7-513FG,6
8-503-0,12
8-506-NC,12
8-513FG,6
5-504-NC,12
5-511-NC,12
6-504-NC,12
6-511-NC,12
7-504-NC,8
7-511-NC,12
8-504-NC,12
8-511-NC,12
10X10X7-532S,6
10X6X5-5070D,12
10X6X6-5070D,12
10X6X7-5070D,12
12X6X6-5070D,8
12X6X7-5070D,12
5-502-0F,12
6-502-0F,12
7-502-0F,12
8-502-0F,12
8X8X6-532S,6
12X12X8-532S,6
5-503-0F,9
6-503-0F,12
7-503-0F,12
8-503-0F,12
10X10-120SD-ND,8
10X8-120SD,8
12X10-120SD,4
12X12-120SD-ND,2
12X8-120SD,8
14X10-120SD,4
14X12-120SD,2
14X8-120SD,8
16X10-120SD,4
16X12-120SD,2
16X8-120SD,8
18X10-120SD,4
18X12-120SD,2
18X8-120SD,4
20X10-120SD,2
20X12-120SD,2
20X8-120SD,2
24X10-120SD,2
24X12-120SD,2
24X8-120SD,2
8X8-120SD-ND,8
10X8-122SD,8
12X10-122SD,4
12X8-122SD,8
14X10-122SD,4
14X12-122SD,2
14X8-122SD,8
16X10-122SD,4
16X12-122SD,2
16X8-122SD,2
18X10-122SD,2
18X12-122SD,2
18X8-122SD,2
20X10-122SD,2
20X12-122SD,2
20X8-122SD,2
24X10-122SD,2
24X12-122SD,2
24X8-122SD,2
10-329,6
10X10-121SD-ND,4
10X8-121SD,2
12X10-121SD,4
12X12-121SD-ND,2
12X8-121SD,2
14X10-121SD,2
14X12-121SD,2
14X8-121SD,4
16X10-121SD,2
16X12-121SD,2
16X16X24-WDG30,6
16X8-121SD,2
18X10-121SD,2
18X12-121SD,2
18X8-121SD,2
20X10-121SD,2
20X12-121SD,2
20X8-121SD,2
24X10-121SD,2
24X12-121SD,2
24X8-121SD,2
4-329,6
5-329,6
6-329,6
7-329,6
8-329,6
8X8-121SD-ND,4
10X8-123SD,2
12X10-123SD,2
12X8-123SD,2
14X10-123SD,2
14X12-123SD,2
14X8-123SD,2
16X10-123SD,2
16X12-123SD,2
16X8-123SD,2
18X10-123SD,2
18X12-123SD,2
18X8-123SD,2
20X10-123SD,2
20X12-123SD,2
20X8-123SD,2
24X10-123SD,2
24X12-123SD,2
