MFG Item,Description,Box_QTY,
8X8-70,8x8 S/D Duct to Duct Canvas Conn,1,
10X8-70,10x8 S/D Duct to Duct Canvas Conn,1,
12X8-70,12x8 S/D Duct to Duct Canvas Conn,1,
14X8-70,14x8 S/D Duct to Duct Canvas Conn,1,
16X8-70,16x8 S/D Duct to Duct Canvas Conn,1,
18X8-70,18x8 S/D Duct to Duct Canvas Connec,1,
20X8-70,20x8 S/D Duct to Duct Canvas Conn,1,
24X8-70,24x8 S/D Duct to Duct Canvas Conn,1,
10X10-70,10x10 S/D Duct to Duct Canvas Conn,1,
12X10-70,12x10 S/D Duct to Duct Canvas Conn,1,
14X10-70,14x10 S/D Duct to Duct Canvas Conn,1,
16X10-70,16x10 S/D Duct to Duct Canvas Conn,1,
18X10-70,18x10 S/D Duct to Duct Canvas Conn,1,
20X10-70,20x10 S/D Duct to Duct Canvas Conn,1,
24X10-70,24x10 S/D Duct to Duct Canvas Conn,1,
12X12-70,12x12 S/D Duct to Duct Canvas Conn,1,
14X12-70,14x12 S/D Duct to Duct Canvas Conn,1,
16X12-70,16x12 S/D Duct to Duct Canvas Conn,1,
18X12-70,18x12 S/D Duct to Duct Canvas Conn,1,
20X12-70,20x12 S/D Duct to Duct Canvas Conn,1,
24X12-70,24x12 S/D Duct to Duct Canvas Conn,1,
128101175-81CSD,12x8 Trunk to 10x11 3/4 Plenum OpenS/D Trunk Transition - Center,2,
148X1012-81CSD,14x8 Trunk to 10x12 Plenum Opening S/D Trunk Transition - Center,2,
168X1112-81CSD,16x8 Trunk to 11x12 Plenum Opening S/D Trunk Transition - Center,2,
188X1212-81CSD,18x8 Trunk to 12x12 Plenum Opening S/D Trunk Transition - Center,2,
208X1214-81CSD,20x8 Trunk to 12x14 Plenum Opening S/D Trunk Transition - Center,2,
228X1215-81CSD,22x8 Trunk to 12x15 Plenum Opening S/D Trunk Transition - Center,2,
248X1216-81CSD,24x8 Trunk to 12x16 Plenum Opening S/D Trunk Transition - Center,2,
2410X1218-81CSD,24x10 Trunk to 12x18 Plenum OpeningS/D Trunk Transition - Center,1,
308X1516-81CSD,30x8 Trunk to 15x16 Plenum Opening S/D Trunk Transition - Center,1,
